employee_id,employee_name,department,biweekly_gross_usd,tax_withheld_usd,net_pay_usd
EMP-2026-001,Employee 001,Product,4850.00,1067.00,3783.00
EMP-2026-002,Employee 002,Sales,4850.00,1067.00,3783.00
EMP-2026-003,Employee 003,Finance,4850.00,1067.00,3783.00
EMP-2026-004,Employee 004,Operations,4850.00,1067.00,3783.00
EMP-2026-005,Employee 005,Engineering,4850.00,1067.00,3783.00
EMP-2026-006,Employee 006,Product,4850.00,1067.00,3783.00
EMP-2026-007,Employee 007,Sales,4850.00,1067.00,3783.00
EMP-2026-008,Employee 008,Finance,4850.00,1067.00,3783.00
EMP-2026-009,Employee 009,Operations,4850.00,1067.00,3783.00
EMP-2026-010,Employee 010,Engineering,4850.00,1067.00,3783.00
EMP-2026-011,Employee 011,Product,4850.00,1067.00,3783.00
EMP-2026-012,Employee 012,Sales,4850.00,1067.00,3783.00
EMP-2026-013,Employee 013,Finance,4850.00,1067.00,3783.00
EMP-2026-014,Employee 014,Operations,4850.00,1067.00,3783.00
EMP-2026-015,Employee 015,Engineering,4850.00,1067.00,3783.00
EMP-2026-016,Employee 016,Product,4850.00,1067.00,3783.00
EMP-2026-017,Employee 017,Sales,4850.00,1067.00,3783.00
EMP-2026-018,Employee 018,Finance,4850.00,1067.00,3783.00
EMP-2026-019,Employee 019,Operations,4850.00,1067.00,3783.00
EMP-2026-020,Employee 020,Engineering,4850.00,1067.00,3783.00
EMP-2026-021,Employee 021,Product,4850.00,1067.00,3783.00
EMP-2026-022,Employee 022,Sales,4850.00,1067.00,3783.00
EMP-2026-023,Employee 023,Finance,4850.00,1067.00,3783.00
EMP-2026-024,Employee 024,Operations,4850.00,1067.00,3783.00
EMP-2026-025,Employee 025,Engineering,4850.00,1067.00,3783.00
EMP-2026-026,Employee 026,Product,4850.00,1067.00,3783.00
EMP-2026-027,Employee 027,Sales,4850.00,1067.00,3783.00
EMP-2026-028,Employee 028,Finance,4850.00,1067.00,3783.00
EMP-2026-029,Employee 029,Operations,4850.00,1067.00,3783.00
EMP-2026-030,Employee 030,Engineering,4850.00,1067.00,3783.00
EMP-2026-031,Employee 031,Product,4850.00,1067.00,3783.00
EMP-2026-032,Employee 032,Sales,4850.00,1067.00,3783.00
EMP-2026-033,Employee 033,Finance,4850.00,1067.00,3783.00
EMP-2026-034,Employee 034,Operations,4850.00,1067.00,3783.00
EMP-2026-035,Employee 035,Engineering,4850.00,1067.00,3783.00
EMP-2026-036,Employee 036,Product,4850.00,1067.00,3783.00
EMP-2026-037,Employee 037,Sales,4850.00,1067.00,3783.00
EMP-2026-038,Employee 038,Finance,4850.00,1067.00,3783.00
EMP-2026-039,Employee 039,Operations,4850.00,1067.00,3783.00
EMP-2026-040,Employee 040,Engineering,4850.00,1067.00,3783.00
EMP-2026-041,Employee 041,Product,4850.00,1067.00,3783.00
EMP-2026-042,Employee 042,Sales,4850.00,1067.00,3783.00
EMP-2026-043,Employee 043,Finance,4850.00,1067.00,3783.00
EMP-2026-044,Employee 044,Operations,4850.00,1067.00,3783.00
EMP-2026-045,Employee 045,Engineering,4850.00,1067.00,3783.00
EMP-2026-046,Employee 046,Product,4850.00,1067.00,3783.00
EMP-2026-047,Employee 047,Sales,4850.00,1067.00,3783.00
EMP-2026-048,Employee 048,Finance,4850.00,1067.00,3783.00
EMP-2026-049,Employee 049,Operations,4850.00,1067.00,3783.00
EMP-2026-050,Employee 050,Engineering,4850.00,1067.00,3783.00
EMP-2026-051,Employee 051,Product,4850.00,1067.00,3783.00
EMP-2026-052,Employee 052,Sales,4850.00,1067.00,3783.00
EMP-2026-053,Employee 053,Finance,4850.00,1067.00,3783.00
EMP-2026-054,Employee 054,Operations,4850.00,1067.00,3783.00
EMP-2026-055,Employee 055,Engineering,4850.00,1067.00,3783.00
EMP-2026-056,Employee 056,Product,4850.00,1067.00,3783.00
EMP-2026-057,Employee 057,Sales,4850.00,1067.00,3783.00
EMP-2026-058,Employee 058,Finance,4850.00,1067.00,3783.00
EMP-2026-059,Employee 059,Operations,4850.00,1067.00,3783.00
EMP-2026-060,Employee 060,Engineering,4850.00,1067.00,3783.00
EMP-2026-061,Employee 061,Product,4850.00,1067.00,3783.00
EMP-2026-062,Employee 062,Sales,4850.00,1067.00,3783.00
EMP-2026-063,Employee 063,Finance,4850.00,1067.00,3783.00
EMP-2026-064,Employee 064,Operations,4850.00,1067.00,3783.00
EMP-2026-065,Employee 065,Engineering,4850.00,1067.00,3783.00
EMP-2026-066,Employee 066,Product,4850.00,1067.00,3783.00
EMP-2026-067,Employee 067,Sales,4850.00,1067.00,3783.00
EMP-2026-068,Employee 068,Finance,4850.00,1067.00,3783.00
EMP-2026-069,Employee 069,Operations,4850.00,1067.00,3783.00
EMP-2026-070,Employee 070,Engineering,4850.00,1067.00,3783.00
EMP-2026-071,Employee 071,Product,4850.00,1067.00,3783.00
EMP-2026-072,Employee 072,Sales,4850.00,1067.00,3783.00
EMP-2026-073,Employee 073,Finance,4850.00,1067.00,3783.00
EMP-2026-074,Employee 074,Operations,4850.00,1067.00,3783.00
EMP-2026-075,Employee 075,Engineering,4850.00,1067.00,3783.00
EMP-2026-076,Employee 076,Product,4850.00,1067.00,3783.00
EMP-2026-077,Employee 077,Sales,4850.00,1067.00,3783.00
EMP-2026-078,Employee 078,Finance,4850.00,1067.00,3783.00
EMP-2026-079,Employee 079,Operations,4850.00,1067.00,3783.00
EMP-2026-080,Employee 080,Engineering,4850.00,1067.00,3783.00
EMP-2026-081,Employee 081,Product,4850.00,1067.00,3783.00
EMP-2026-082,Employee 082,Sales,4850.00,1067.00,3783.00
EMP-2026-083,Employee 083,Finance,4850.00,1067.00,3783.00
EMP-2026-084,Employee 084,Operations,4850.00,1067.00,3783.00
EMP-2026-085,Employee 085,Engineering,4850.00,1067.00,3783.00
EMP-2026-086,Employee 086,Product,4850.00,1067.00,3783.00
EMP-2026-087,Employee 087,Sales,4850.00,1067.00,3783.00
EMP-2026-088,Employee 088,Finance,4850.00,1067.00,3783.00
EMP-2026-089,Employee 089,Operations,4850.00,1067.00,3783.00
EMP-2026-090,Employee 090,Engineering,4850.00,1067.00,3783.00
EMP-2026-091,Employee 091,Product,4850.00,1067.00,3783.00
EMP-2026-092,Employee 092,Sales,4850.00,1067.00,3783.00
EMP-2026-093,Employee 093,Finance,4850.00,1067.00,3783.00
EMP-2026-094,Employee 094,Operations,4850.00,1067.00,3783.00
EMP-2026-095,Employee 095,Engineering,4850.00,1067.00,3783.00
EMP-2026-096,Employee 096,Product,4850.00,1067.00,3783.00
EMP-2026-097,Employee 097,Sales,4850.00,1067.00,3783.00
EMP-2026-098,Employee 098,Finance,4850.00,1067.00,3783.00
EMP-2026-099,Employee 099,Operations,4850.00,1067.00,3783.00
EMP-2026-100,Employee 100,Engineering,4850.00,1067.00,3783.00
